genres,keywords,production_companies,tagline,title,cast,director
Thriller Drama History,assassination cia hotel terrorist prisoner,"[{""name"": ""Columbia Pictures"", ""id"": 5}, {""name"": ""Annapurna Pictures"", ""id"": 13184}, {""name"": ""First Light Production"", ""id"": 20344}]",The Greatest Manhunt in History,Zero Dark Thirty,Jessica Chastain Jason Clarke Mark Strong Joel Edgerton Chris Pratt,Kathryn Bigelow
Romance Comedy,bowling chicago american football flat baseball,"[{""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""Mosaic Media Group"", ""id"": 748}, {""name"": ""Wild West Picture Show Productions"", ""id"": 2796}]",. . . pick a side.,The Break-Up,Vince Vaughn Jennifer Aniston Joey Lauren Adams Cole Hauser Jon Favreau,Peyton Reed
Comedy Romance,single parent greece musical daughter single,"[{""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""Internationale Filmproduktion Richter"", ""id"": 2655}, {""name"": ""Playtone"", ""id"": 4171}, {""name"": ""Relativity Media"", ""id"": 7295}, {""name"": ""Littlestar"", ""id"": 34441}]",Take a trip down the aisle you'll never forget,Mamma Mia!,Meryl Streep Pierce Brosnan Amanda Seyfried Colin Firth Stellan Skarsg\u00e5rd,Phyllida Lloyd
Comedy Romance,flower married couple florist kiss single,"[{""name"": ""New Line Cinema"", ""id"": 12}, {""name"": ""Karz Entertainment"", ""id"": 4194}, {""name"": ""Rice Films"", ""id"": 60018}]",A Love Story. More or Less.,Valentine's Day,Jessica Alba Jessica Biel Bradley Cooper Eric Dane Patrick Dempsey,Garry Marshall
Action Adventure Comedy,sheriff farm bikini redneck moonshine,"[{""name"": ""Village Roadshow Pictures"", ""id"": 79}, {""name"": ""Gerber Pictures"", ""id"": 975}, {""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""WV Films III"", ""id"": 12202}]",Cousins. Outlaws. Thrillbillies.,The Dukes of Hazzard,Johnny Knoxville Seann William Scott Jessica Simpson Willie Nelson Burt Reynolds,Jay Chandrasekhar
Drama History War,based on novel japanese world war ii battle assignment invasion,"[{""name"": ""Fox 2000 Pictures"", ""id"": 711}, {""name"": ""Phoenix Pictures"", ""id"": 11317}, {""name"": ""Geisler-Roberdeau"", ""id"": 23660}]",Every man fights his own war.,The Thin Red Line,Sean Penn Adrien Brody Jim Caviezel Ben Chaplin George Clooney,Terrence Malick
Comedy,jealousy chance wish change man change,"[{""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""Original Film"", ""id"": 333}, {""name"": ""Relativity Media"", ""id"": 7295}, {""name"": ""Big Kid Pictures"", ""id"": 8406}]",Who says men can't change?,The Change-Up,Olivia Wilde Ryan Reynolds Jason Bateman Leslie Mann Mircea Monroe,David Dobkin
Comedy Drama Romance,show business comedian wrestling,"[{""name"": ""Mutual Film Company"", ""id"": 762}]","Hello, my name is Andy and this is my movie.",Man on the Moon,Jim Carrey Courtney Love Bob Zmuda Danny DeVito Gerry Becker,Milo\u0161 Forman
Drama Crime,poker drug abuse 1970s overdose illegal prostitution,"[{""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""L\u00e9gende Entreprises"", ""id"": 10898}, {""name"": ""Syalis DA"", ""id"": 11583}, {""name"": ""De Fina-Cappa"", ""id"": 11584}]",No one stays at the top forever.,Casino,Robert De Niro Sharon Stone Joe Pesci James Woods Don Rickles,Martin Scorsese
Action Crime Thriller,paris cia undercover explosive pimp,"[{""name"": ""Apipoula\u00ef"", ""id"": 1076}, {""name"": ""M6 Films"", ""id"": 1115}, {""name"": ""Canal+"", ""id"": 5358}, {""name"": ""TPS Star"", ""id"": 6586}, {""name"": ""Grive Productions"", ""id"": 6877}, {""name"": ""EuropaCorp"", ""id"": 6896}, {""name"": ""M6"", ""id"": 11261}, {""name"": ""W9"", ""id"": 34774}]",Two agents. One city. No merci.,From Paris with Love,John Travolta Jonathan Rhys Meyers Kasia Smutniak Richard Durden Bing Yin,Pierre Morel
Action Comedy Fantasy,monk homeless person injection fall knife fight,"[{""name"": ""Metro-Goldwyn-Mayer (MGM)"", ""id"": 8411}]",A power beyond measure requires a protector without equal.,Bulletproof Monk,Seann William Scott Jaime King Karel Roden Chow Yun-fat K. C. Collins,Paul Hunter
Comedy,schizophrenia ex-cop aftercreditsstinger duringcreditsstinger,"[{""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}, {""name"": ""Conundrum Entertainment"", ""id"": 1156}]",From gentle to mental.,"Me, Myself & Irene",Jim Carrey Ren\u00e9e Zellweger Anthony Anderson Robert Forster Richard Jenkins,Bobby Farrelly
Animation Comedy Family,peasant farm cow cojote family,"[{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""Nickelodeon Movies"", ""id"": 2348}, {""name"": ""Paramount Animation"", ""id"": 24955}]",What happens in the barn stays in the barn,Barnyard,Courteney Cox Kevin James Sam Elliott Danny Glover Wanda Sykes,Steve Oedekerk
Comedy Family,holiday massachusetts neighbor christmas,"[{""name"": ""Regency Enterprises"", ""id"": 508}, {""name"": ""New Regency Pictures"", ""id"": 10104}, {""name"": ""Corduroy Films"", ""id"": 18479}, {""name"": ""All Lit Up Productions"", ""id"": 89633}]",There glows the neighborhood,Deck the Halls,Danny DeVito Matthew Broderick Kristin Davis Kristin Chenoweth Fred Armisen,John Whitesell
Adventure Fantasy Drama Romance,moon cinema vampire werewolf fang vamp,"[{""name"": ""Summit Entertainment"", ""id"": 491}, {""name"": ""Maverick Films"", ""id"": 4000}, {""name"": ""Imprint Entertainment"", ""id"": 5218}, {""name"": ""Sunswept Entertainment"", ""id"": 5219}, {""name"": ""Temple Hill Entertainment"", ""id"": 12292}]",The Next Chapter Begins.,The Twilight Saga: New Moon,Kristen Stewart Robert Pattinson Taylor Lautner Billy Burke Ashley Greene,Chris Weitz
Adventure Animation Comedy Family Fantasy,magic liberation lordship castle robin hood,"[{""name"": ""DreamWorks SKG"", ""id"": 27}, {""name"": ""Pacific Data Images (PDI)"", ""id"": 520}, {""name"": ""DreamWorks Animation"", ""id"": 521}]",The greatest fairy tale never told.,Shrek,Mike Myers Eddie Murphy Cameron Diaz John Lithgow Vincent Cassel,Andrew Adamson
Science Fiction Thriller Romance,hotel dancer hat senator future,"[{""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""Media Rights Capital"", ""id"": 2531}, {""name"": ""Gambit Pictures"", ""id"": 6933}, {""name"": ""Electric Shepherd Productions"", ""id"": 11834}]",Fight for your fate.,The Adjustment Bureau,Matt Damon Emily Blunt John Slattery Anthony Mackie Lauren Hodges,George Nolfi
Adventure,england crusade mercifulness robin hood folk hero,"[{""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""Morgan Creek Productions"", ""id"": 10210}]","For the good of all men, and the love of one woman, he fought to uphold justice by breaking the law.",Robin Hood: Prince of Thieves,Kevin Costner Morgan Freeman Christian Slater Mary Elizabeth Mastrantonio Alan Rickman,Kevin Reynolds
Comedy Drama Romance,stadium career sport sports agent,"[{""name"": ""Gracie Films"", ""id"": 18}, {""name"": ""TriStar Pictures"", ""id"": 559}]",Everybody loved him... Everybody disappeared.,Jerry Maguire,Tom Cruise Cuba Gooding Jr. Ren\u00e9e Zellweger Kelly Preston Alison Armitage,Cameron Crowe
Comedy Fantasy,friendship love teddy bear toy comes to life wishes come true,"[{""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""Media Rights Capital"", ""id"": 2531}, {""name"": ""Fuzzy Door Productions"", ""id"": 8789}]",Ted is coming.,Ted,Mark Wahlberg Mila Kunis Seth MacFarlane Joel McHale Giovanni Ribisi,Seth MacFarlane
Comedy Romance,single parent waitress lone wolf friendship neighbor,"[{""name"": ""Gracie Films"", ""id"": 18}, {""name"": ""TriStar Pictures"", ""id"": 559}]",A comedy from the heart that goes for the throat.,As Good as It Gets,Jack Nicholson Helen Hunt Greg Kinnear Cuba Gooding Jr. Skeet Ulrich,James L. Brooks
Comedy Drama,nurse hospital doctor laughter,"[{""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""Bungalow 78 Productions"", ""id"": 369}, {""name"": ""Blue Wolf"", ""id"": 10230}, {""name"": ""Farrell/Minoff"", ""id"": 10231}]",Laughter is contagious,Patch Adams,Robin Williams Philip Seymour Hoffman Bob Gunton Peter Coyote Michael Jeter,Tom Shadyac
Comedy,journalism mustache tv news newsroom gang warfare,"[{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""Gary Sanchez Productions"", ""id"": 4740}, {""name"": ""Apatow Productions"", ""id"": 10105}]",It's kind of a big deal,Anchorman 2: The Legend Continues,Will Ferrell Steve Carell Paul Rudd Christina Applegate David Koechner,Adam McKay
Comedy Romance,love letter new hampshire ferrari liar city country contrast,"[{""name"": ""New Line Cinema"", ""id"": 12}, {""name"": ""Columbia Pictures Corporation"", ""id"": 441}, {""name"": ""Out of the Blue... Entertainment"", ""id"": 879}, {""name"": ""Happy Madison Productions"", ""id"": 2608}]","Small town kid, big time right hook.",Mr. Deeds,Adam Sandler Winona Ryder John Turturro Allen Covert Peter Gallagher,Steven Brill
Thriller Science Fiction Mystery,1970s secret alien train crash pistol,"[{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""Amblin Entertainment"", ""id"": 56}, {""name"": ""Bad Robot"", ""id"": 11461}, {""name"": ""K/O Camera Toys"", ""id"": 23300}]",It Arrives.,Super 8,Joel Courtney Elle Fanning Riley Griffiths Kyle Chandler Ryan Lee,J.J. Abrams
Drama,biography based on true story single mother water pollution environmental law,"[{""name"": ""Jersey Films"", ""id"": 216}]",She brought a small town to its feet and a huge corporation to its knees.,Erin Brockovich,Julia Roberts Albert Finney Aaron Eckhart Marg Helgenberger Cherry Jones,Steven Soderbergh
Comedy Romance,new york bet journalist therapist advertising expert,"[{""name"": ""Paramount Pictures"", ""id"": 4}]",One of them is lying. So is the other.,How to Lose a Guy in 10 Days,Kate Hudson Matthew McConaughey Kathryn Hahn Annie Parisse Adam Goldberg,Donald Petrie
Crime Comedy Action,high school undercover cop buddy comedy aftercreditsstinger duringcreditsstinger,"[{""name"": ""Columbia Pictures"", ""id"": 5}, {""name"": ""Original Film"", ""id"": 333}, {""name"": ""Media Rights Capital"", ""id"": 2531}, {""name"": ""Metro-Goldwyn-Mayer (MGM)"", ""id"": 8411}, {""name"": ""Cannell Studios"", ""id"": 9194}, {""name"": ""LStar Capital"", ""id"": 34034}, {""name"": ""33andOut Productions"", ""id"": 34035}, {""name"": ""JHF Productions"", ""id"": 34036}]",They're not 21 anymore,22 Jump Street,Jonah Hill Channing Tatum Dave Franco Ice Cube Nick Offerman,Phil Lord
Horror Romance,paris san francisco vampire plantation pity,"[{""name"": ""Geffen Pictures"", ""id"": 360}]",Drink from me and live forever,Interview with the Vampire,Brad Pitt Tom Cruise Kirsten Dunst Antonio Banderas Christian Slater,Neil Jordan
Comedy,bungee-jump scooter,"[{""name"": ""Village Roadshow Pictures"", ""id"": 79}, {""name"": ""The Zanuck Company"", ""id"": 80}, {""name"": ""Heyday films"", ""id"": 437}, {""name"": ""Warner Bros."", ""id"": 6194}]",One Word Can Change Everything.,Yes Man,Jim Carrey Zooey Deschanel Rhys Darby Sasha Alexander Fionnula Flanagan,Peyton Reed
Action Comedy,spy cia espionage high school reunion reference to facebook,"[{""name"": ""New Line Cinema"", ""id"": 12}, {""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""Bluegrass Films"", ""id"": 13778}, {""name"": ""Principato-Young Entertainment"", ""id"": 37845}]",Saving the world takes a little Hart and a big Johnson,Central Intelligence,Dwayne Johnson Kevin Hart Amy Ryan Aaron Paul Danielle Nicolet,Rawson Marshall Thurber
Drama Romance,divorce rebellious daughter freeze frame custody school play,"[{""name"": ""Columbia Pictures"", ""id"": 5}, {""name"": ""1492 Pictures"", ""id"": 436}]",Be there for the joy. Be there for the tears. Be there for each other.,Stepmom,Julia Roberts Susan Sarandon Ed Harris Jena Malone Liam Aiken,Chris Columbus
Comedy,daddys home,"[{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""Gary Sanchez Productions"", ""id"": 4740}, {""name"": ""Red Granite Pictures"", ""id"": 19177}]",Choose your Daddy,Daddy's Home,Will Ferrell Mark Wahlberg Linda Cardellini Thomas Haden Church Scarlett Estevez,Sean Anders
Fantasy Comedy Music,witch cinderella prince fairy tale musical,"[{""name"": ""Walt Disney Pictures"", ""id"": 2}, {""name"": ""Marc Platt Productions"", ""id"": 2527}, {""name"": ""Lucamar Productions"", ""id"": 17021}]",Be careful what you wish for...,Into the Woods,Meryl Streep Emily Blunt James Corden Anna Kendrick Chris Pine,Rob Marshall
Crime Drama Thriller,bank manager kidnapping nazi background document ultimatum,"[{""name"": ""Imagine Entertainment"", ""id"": 23}, {""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""40 Acres & A Mule Filmworks"", ""id"": 4319}]",It looked like the perfect bank robbery. But you can't judge a crime by its cover.,Inside Man,Denzel Washington Clive Owen Jodie Foster Christopher Plummer Willem Dafoe,Spike Lee
Drama Action Thriller Crime,new york heroin money criminal,"[{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""Icon Entertainment International"", ""id"": 4564}]",No More Mr. Nice Guy.,Payback,Mel Gibson Kris Kristofferson Gregg Henry Maria Bello David Paymer,Brian Helgeland
Action Adventure Drama Mystery Science Fiction,gorilla kongo diamond mine diamond,"[{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""Kennedy/Marshall Company, The"", ""id"": 7383}]",Where you are the endangered species.,Congo,Laura Linney Dylan Walsh Ernie Hudson Tim Curry Grant Heslov,Frank Marshall
Drama Comedy Family,zoo,"[{""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}, {""name"": ""Dune Entertainment"", ""id"": 444}, {""name"": ""Vinyl Films"", ""id"": 485}, {""name"": ""LBI Entertainment"", ""id"": 8518}]",A True Zoo Story,We Bought a Zoo,Matt Damon Scarlett Johansson Thomas Haden Church Colin Ford Maggie Elizabeth Jones,Cameron Crowe
Action Adventure Drama Mystery Science Fiction,cataclysm code suspense end of the world time capsule,"[{""name"": ""Summit Entertainment"", ""id"": 491}, {""name"": ""Mystery Clock Cinema"", ""id"": 908}, {""name"": ""Escape Artists"", ""id"": 1423}, {""name"": ""Goldcrest Pictures"", ""id"": 11843}, {""name"": ""Kaplan/Perrone Entertainment"", ""id"": 11844}, {""name"": ""Wintergreen Productions"", ""id"": 11845}]",Knowing is everything...,Knowing,Nicolas Cage Rose Byrne Chandler Canterbury Ben Mendelsohn Nadia Townsend,Alex Proyas
Comedy,hotel mom romantic comedy lying living with parents pretend relationship,"[{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""Scott Rudin Productions"", ""id"": 258}, {""name"": ""Failure to Launch Productions"", ""id"": 84423}]","To leave the nest, some men just need a little push.",Failure to Launch,Matthew McConaughey Sarah Jessica Parker Zooey Deschanel Justin Bartha Bradley Cooper,Tom Dey
Drama Horror Thriller,nun based on novel bath tub nightmare son,"[{""name"": ""DreamWorks"", ""id"": 7}, {""name"": ""BenderSpink"", ""id"": 6363}, {""name"": ""Parkes+MacDonald Image Nation"", ""id"": 49325}]",The dead don't sleep.,The Ring Two,Naomi Watts Simon Baker Elizabeth Perkins David Dorfman Gary Cole,Hideo Nakata
Comedy Drama Romance,soulmates midlife crisis marriage crisis womanizer law school,"[{""name"": ""Warner Bros."", ""id"": 6194}]",This Is Stupid,"Crazy, Stupid, Love.",Steve Carell Julianne Moore Ryan Gosling Emma Stone Marisa Tomei,Glenn Ficarra
Animation Comedy Family,competition moderator lasagne garfield,"[{""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}, {""name"": ""Davis Entertainment"", ""id"": 1302}, {""name"": ""Twentieth Century Fox Animation"", ""id"": 11749}]",Get ready for frisky business.,Garfield,Bill Murray Breckin Meyer Jennifer Love Hewitt Stephen Tobolowsky Evan Arnold,Peter Hewitt
Comedy Family,holiday christmas,"[{""name"": ""Columbia Pictures"", ""id"": 5}, {""name"": ""1492 Pictures"", ""id"": 436}, {""name"": ""Revolution Studios"", ""id"": 497}]",No! Ho! Ho!,Christmas with the Kranks,Tim Allen Jamie Lee Curtis Dan Aykroyd M. Emmet Walsh Elizabeth Franz,Joe Roth
Drama,underdog based on novel baseball teamwork sport,"[{""name"": ""Columbia Pictures"", ""id"": 5}, {""name"": ""Scott Rudin Productions"", ""id"": 258}]",What are you really worth?,Moneyball,Brad Pitt Jonah Hill Philip Seymour Hoffman Robin Wright Chris Pratt,Bennett Miller
Action Drama Science Fiction Thriller,river general research army serum,"[{""name"": ""Kopelson Entertainment"", ""id"": 824}, {""name"": ""Punch Productions"", ""id"": 2154}, {""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""Arnold Kopelson Productions"", ""id"": 16775}]",This animal carries a deadly virus... and the greatest medical crisis in the world is about to happen.,Outbreak,Dustin Hoffman Rene Russo Morgan Freeman Kevin Spacey Cuba Gooding Jr.,Wolfgang Petersen
Action Thriller Mystery,airplane conspiracy airplane crash cell phone hijack,"[{""name"": ""StudioCanal"", ""id"": 694}, {""name"": ""Silver Pictures"", ""id"": 1885}, {""name"": ""TF1 Films Production"", ""id"": 3823}, {""name"": ""Canal+"", ""id"": 5358}, {""name"": ""Anton Capital Entertainment (ACE)"", ""id"": 20664}, {""name"": ""TF1"", ""id"": 22123}, {""name"": ""LOVEFiLM International"", ""id"": 26387}]",The hijacking was just the beginning.,Non-Stop,Liam Neeson Julianne Moore Scoot McNairy Michelle Dockery Nate Parker,Jaume Collet-Serra
Adventure Family Fantasy Science Fiction Thriller,spacecraft laser teleportation telekinesis alien,"[{""name"": ""Walt Disney Pictures"", ""id"": 2}, {""name"": ""Gunn Films"", ""id"": 3538}]",The race is on,Race to Witch Mountain,Dwayne Johnson AnnaSophia Robb Alexander Ludwig Carla Gugino Chris Marquette,Andy Fickman
Action Thriller Fantasy,detective vatican fascism satanism fascist,"[{""name"": ""Studio Babelsberg"", ""id"": 264}, {""name"": ""DC Comics"", ""id"": 429}, {""name"": ""Virtual Studios"", ""id"": 449}, {""name"": ""Anarchos Productions"", ""id"": 450}, {""name"": ""Silver Pictures"", ""id"": 1885}, {""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""Medienboard Berlin-Brandenburg"", ""id"": 7307}, {""name"": ""F\u00fcnfte Babelsberg Film"", ""id"": 23889}]",People should not be afraid of their governments. Governments should be afraid of their people.,V for Vendetta,Natalie Portman Hugo Weaving Stephen Rea Stephen Fry John Hurt,James McTeigue
Action Adventure Comedy Western,london england indian territory emperor revenge murder,"[{""name"": ""Spyglass Entertainment"", ""id"": 158}, {""name"": ""Touchstone Pictures"", ""id"": 9195}, {""name"": ""Birnbaum / Barber Productions"", ""id"": 58262}, {""name"": ""Jackie Chan Films Limited"", ""id"": 58263}, {""name"": ""All Knight Productions"", ""id"": 58264}]",A Royal Kick In The Arse.,Shanghai Knights,Jackie Chan Owen Wilson Fann Wong Aaron Taylor-Johnson Aidan Gillen,David Dobkin
Adventure Animation Comedy Family,museum product placement balloon jungle monkey,"[{""name"": ""Imagine Entertainment"", ""id"": 23}, {""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""Universal Animation Studios"", ""id"": 5556}]",Get Carried Away With The Cutest Little Monkey Around!,Curious George,Will Ferrell Drew Barrymore David Cross Eugene Levy Dick Van Dyke,Matthew O'Callaghan
Comedy Family Adventure Fantasy Romance,car race victory car nascar woman director,"[{""name"": ""Walt Disney Pictures"", ""id"": 2}, {""name"": ""Robert Simonds Productions"", ""id"": 3929}]",Start your engines...,Herbie Fully Loaded,Lindsay Lohan Michael Keaton Matt Dillon Breckin Meyer Justin Long,Angela Robinson
Thriller,cemetery diamant suspense psychiatrist killer,"[{""name"": ""Village Roadshow Pictures"", ""id"": 79}, {""name"": ""NPV Entertainment"", ""id"": 172}, {""name"": ""Regency Enterprises"", ""id"": 508}, {""name"": ""Kopelson Entertainment"", ""id"": 824}, {""name"": ""Epsilon Motion Pictures"", ""id"": 1171}, {""name"": ""New Regency Pictures"", ""id"": 10104}, {""name"": ""Furthur Films"", ""id"": 33433}]",...I'll never tell.,Don't Say a Word,Michael Douglas Sean Bean Brittany Murphy Skye McCole Bartusiak Guy Torry,Gary Fleder
Fantasy Horror Action,witch black magic steampunk good vs evil troll,"[{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""Studio Babelsberg"", ""id"": 264}, {""name"": ""MTV Films"", ""id"": 746}, {""name"": ""Gary Sanchez Productions"", ""id"": 4740}, {""name"": ""Metro-Goldwyn-Mayer (MGM)"", ""id"": 8411}, {""name"": ""Deutsche Filmf\u00f6rderfonds (DFFF)"", ""id"": 11238}]",Classic tale. New twist.,Hansel & Gretel: Witch Hunters,Jeremy Renner Gemma Arterton Famke Janssen Pihla Viitala Derek Mears,Tommy Wirkola
Thriller Drama,adultery infidelity eroticism literature lover,"[{""name"": ""Regency Enterprises"", ""id"": 508}, {""name"": ""Fox 2000 Pictures"", ""id"": 711}, {""name"": ""Epsilon Motion Pictures"", ""id"": 1171}, {""name"": ""Unfaithful Filmproduktion GmbH & Co. KG"", ""id"": 58248}]",Where do you go when you've gone too far?,Unfaithful,Richard Gere Diane Lane Olivier Martinez Erik Per Sullivan Zeljko Ivanek,Adrian Lyne
Action Thriller Science Fiction Adventure,secret identity alien teenage boy teenage hero alien teenager,"[{""name"": ""DreamWorks SKG"", ""id"": 27}, {""name"": ""Reliance BIG Entertainment"", ""id"": 6733}, {""name"": ""Bay Films"", ""id"": 6734}, {""name"": ""Touchstone Pictures"", ""id"": 9195}]",Three like him have already been killed…he is Number Four.,I Am Number Four,Alex Pettyfer Timothy Olyphant Teresa Palmer Dianna Agron Callan McAuliffe,D.J. Caruso
Drama Thriller,anti terror bomb assassination middle east lebanon,"[{""name"": ""Section Eight"", ""id"": 129}, {""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""Participant Media"", ""id"": 6735}, {""name"": ""FilmWorks"", ""id"": 7786}, {""name"": ""4M"", ""id"": 20665}, {""name"": ""MID Foundation"", ""id"": 20666}]",Everything is connected.,Syriana,George Clooney Matt Damon Jeffrey Wright Chris Cooper Amanda Peet,Stephen Gaghan
Action Drama History Thriller War,based on novel assault rifle mercenary libya biography,"[{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""3 Arts Entertainment"", ""id"": 787}, {""name"": ""Bay Films"", ""id"": 6734}, {""name"": ""Latina Pictures"", ""id"": 19108}, {""name"": ""Dune Films"", ""id"": 19477}]","When everything went wrong, six men had the courage to do what was right.",13 Hours: The Secret Soldiers of Benghazi,James Badge Dale John Krasinski Max Martini Pablo Schreiber Toby Stephens,Michael Bay
Romance Animation Adventure Comedy Family,love triangle afterlife day of the dead bullfighting,"[{""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}, {""name"": ""Reel FX Creative Studios"", ""id"": 2787}, {""name"": ""Twentieth Century Fox Animation"", ""id"": 11749}, {""name"": ""Chatrone"", ""id"": 79031}]", ,The Book of Life,Diego Luna Channing Tatum Zoe Saldana Christina Applegate Eugenio Derbez,Jorge R. Gutierrez
Thriller,bank technology blackmail hacker seattle,"[{""name"": ""Village Roadshow Pictures"", ""id"": 79}, {""name"": ""Thunder Road Pictures"", ""id"": 3528}, {""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""Beacon Pictures"", ""id"": 10157}, {""name"": ""Jon Shestack Productions"", ""id"": 10991}]",Nothing Is More Dangerous Than A Man With Everything To Lose.,Firewall,Harrison Ford Paul Bettany Virginia Madsen Carly Schroeder Jimmy Bennett,Richard Loncraine
Crime Drama Thriller,corruption assassination washington d.c. rape white house,"[{""name"": ""Columbia Pictures"", ""id"": 5}, {""name"": ""Castle Rock Entertainment"", ""id"": 97}, {""name"": ""Malpaso Productions"", ""id"": 171}]",Corrupts Absolutely.,Absolute Power,Clint Eastwood Gene Hackman Ed Harris Scott Glenn Laura Linney,Clint Eastwood
Action Drama,poem middle east helicopter satellite navy,"[{""name"": ""Caravan Pictures"", ""id"": 175}, {""name"": ""Hollywood Pictures"", ""id"": 915}, {""name"": ""First Independent Films"", ""id"": 1643}, {""name"": ""Largo Entertainment"", ""id"": 1644}, {""name"": ""Scott Free Productions"", ""id"": 1645}, {""name"": ""Trap-Two-Zero Productions"", ""id"": 1646}]",Failure is not an option.,G.I. Jane,Demi Moore Viggo Mortensen Anne Bancroft Jason Beghe Daniel von Bargen,Ridley Scott
Drama Thriller Mystery,brother brother relationship birthday danger of life birthday party surprising,"[{""name"": ""PolyGram Filmed Entertainment"", ""id"": 1382}, {""name"": ""A&B Producoes"", ""id"": 1519}, {""name"": ""Popaganda Films"", ""id"": 10164}]",What do you get for the man who has everything?,The Game,Michael Douglas Sean Penn Deborah Kara Unger James Rebhorn Spike Jonze,David Fincher
Horror Mystery,monster mother role burning of witches fog suffering,"[{""name"": ""Silent Hill DCP Inc."", ""id"": 341}, {""name"": ""Davis-Films"", ""id"": 342}, {""name"": ""TriStar Pictures"", ""id"": 559}, {""name"": ""Konami"", ""id"": 55914}]",We've been expecting you.,Silent Hill,Radha Mitchell Sean Bean Laurie Holden Deborah Kara Unger Kim Coates,Christophe Gans
Comedy,american football strike sport coach misfit,"[{""name"": ""Warner Bros."", ""id"": 6194}]",Throw the ball. Catch the girl. Keep it simple.,The Replacements,Keanu Reeves Gene Hackman Brooke Langton Orlando Jones Faizon Love,Howard Deutch
Comedy,wife husband relationship sequel family reunion masturbation scat,"[{""name"": ""Universal Pictures"", ""id"": 33}]",Save the best piece for last.,American Reunion,Jason Biggs Alyson Hannigan Seann William Scott Chris Klein Thomas Ian Nicholas,Jon Hurwitz
Action Adventure Crime Drama Mystery,corruption hostage pension innocence police,"[{""name"": ""Regency Enterprises"", ""id"": 508}, {""name"": ""Warner Bros."", ""id"": 6194}]",He frees hostages for a living. Now he's taking hostages to survive.,The Negotiator,Samuel L. Jackson Kevin Spacey David Morse Ron Rifkin John Spencer,F. Gary Gray
Action Thriller,tornado student found footage disaster movie,"[{""name"": ""New Line Cinema"", ""id"": 12}, {""name"": ""Village Roadshow Pictures"", ""id"": 79}, {""name"": ""Broken Road Productions"", ""id"": 8000}, {""name"": ""RatPac-Dune Entertainment"", ""id"": 41624}]",Prepare to go,Into the Storm,Richard Armitage Sarah Wayne Callies Matt Walsh Nathan Kress Alycia Debnam-Carey,Steven Quale
Action Comedy Crime,detective undercover security camera carousel  investigation,"[{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""Eddie Murphy Productions"", ""id"": 30}]", ,Beverly Hills Cop III,Eddie Murphy Judge Reinhold H\u00e9ctor Elizondo Gilbert R. Hill Timothy Carhart,John Landis
Comedy Horror Fantasy,new york monster skyscraper mutant restaurant,"[{""name"": ""Amblin Entertainment"", ""id"": 56}, {""name"": ""Warner Bros."", ""id"": 6194}]",Here they grow again.,Gremlins 2: The New Batch,Zach Galligan Phoebe Cates John Glover Robert Prosky Robert Picardo,Joe Dante
Drama,father son relationship judge lawyer,"[{""name"": ""Village Roadshow Pictures"", ""id"": 79}, {""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""Big Kid Pictures"", ""id"": 8406}, {""name"": ""Team Downey"", ""id"": 27467}]",Defend your Honor.,The Judge,Robert Duvall Robert Downey Jr. Vera Farmiga Vincent D'Onofrio Jeremy Strong,David Dobkin
Action Thriller,helicopter terrorist nuclear missile bridge train crash,"[{""name"": ""DreamWorks SKG"", ""id"": 27}]",How do you get the world's attention?,The Peacemaker,George Clooney Nicole Kidman Marcel Iure\u0219 Goran Visnjic Armin Mueller-Stahl,Mimi Leder
